010001,ASSEMBLEIA,01 - ASSEMBLEIA,Administração direta
010101,FPP,01 - ASSEMBLEIA,Fundos
020001,TCE,02 - TCE,Administração direta
040001,TJ,04 - TJ,Administração direta
040101,FERMOJU,04 - TJ,Fundos
040301,FUNSEG,04 - TJ,Fundos
040401,FECDOJ,04 - TJ,Fundos
060001,DPGE,06 – DPGE,Administração direta
060101,FAADEP,06 – DPGE,Fundos
080001,SEINFRA,08 – SEINFRA,Administração direta
080101,DER,08 – SEINFRA,Autarquia
080301,DETRAN,08 – SEINFRA,Autarquia
081201,DAE,08 – SEINFRA,Autarquia
081401,SOP,08 – SEINFRA,Autarquia
100001,SSPDS,10 – SSPDS,Administração direta
100601,FSPDS,10 – SSPDS,Fundos
100607,FDS PC,10 – SSPDS,Fundos
100608,FDS PM,10 – SSPDS,Fundos
100609,FDS CB,10 – SSPDS,Fundos
100610,FSPDS C PM,10 – SSPDS,Fundos
100611,FSPDS C B,10 – SSPDS,Fundos
100615,FSPDS CPMJ,10 – SSPDS,Fundos
101021,PCCE,10 – SSPDS,Administração direta
101031,PMCE,10 – SSPDS,Administração direta
101041,CBMCE,10 – SSPDS,Administração direta
101071,PEFOCE,10 – SSPDS,Administração direta
101081,AESP/CE,10 – SSPDS,Administração direta
101091,SUPESP,10 – SSPDS,Administração direta
105001,FDC,10 – SSPDS,Fundos
130001,PGE,13 – PGE,Administração direta
130101,ARCE,13 – PGE,Autarquia
130201,FUNPECEPGE,13 – PGE,Fundos
150001,PGJ,15 – PGJ,Administração direta
150201,FDID,15 – PGJ,Fundos
150501,FRMMP,15 – PGJ,Fundos
170001,CEE,17 – CEE,Administração direta
180001,SAP,18 – SAP,Administração direta
180401,FUNPEN,18 – SAP,Fundos
190001,SEFAZ,19 – SEFAZ,Administração direta
190401,JUCEC,19 – SEFAZ,Autarquia
191011,ENCARGOS,19 – SEFAZ,Administração direta
210001,SDA,21 – SDA,Administração direta
210101,EMATERCE,21 – SDA,Empresa Pública Dependente
210301,IDACE,21 – SDA,Autarquia
211101,ADAGRI,21 – SDA,Autarquia
211301,FDAF,21 – SDA,Fundos
220001,SEDUC,22 – SEDUC,Administração direta
221001,SEFOR1,22 – SEDUC,Administração direta
221002,SEFOR2,22 – SEDUC,Administração direta
221003,SEFOR3,22 – SEDUC,Administração direta
227001,CREDE1,22 – SEDUC,Administração direta
227002,CREDE2,22 – SEDUC,Administração direta
227003,CREDE3,22 – SEDUC,Administração direta
227004,CREDE4,22 – SEDUC,Administração direta
227005,CREDE5,22 – SEDUC,Administração direta
227006,CREDE6,22 – SEDUC,Administração direta
227007,CREDE7,22 – SEDUC,Administração direta
227008,CREDE8,22 – SEDUC,Administração direta
227009,CREDE9,22 – SEDUC,Administração direta
227010,CREDE10,22 – SEDUC,Administração direta
227011,CREDE11,22 – SEDUC,Administração direta
227012,CREDE12,22 – SEDUC,Administração direta
227013,CREDE13,22 – SEDUC,Administração direta
227014,CREDE14,22 – SEDUC,Administração direta
227015,CREDE15,22 – SEDUC,Administração direta
227016,CREDE16,22 – SEDUC,Administração direta
227017,CREDE17,22 – SEDUC,Administração direta
227018,CREDE18,22 – SEDUC,Administração direta
227019,CREDE19,22 – SEDUC,Administração direta
227020,CREDE20,22 – SEDUC,Administração direta
228001,ESCOLAS,22 – SEDUC,Administração direta
228002,ESCOLAS,22 – SEDUC,Administração direta
228003,ESCOLAS,22 – SEDUC,Administração direta
228004,ESCOLAS,22 – SEDUC,Administração direta
228005,ESCOLAS,22 – SEDUC,Administração direta
228006,ESCOLAS,22 – SEDUC,Administração direta
228007,ESCOLAS,22 – SEDUC,Administração direta
228008,ESCOLAS,22 – SEDUC,Administração direta
228009,ESCOLAS,22 – SEDUC,Administração direta
228010,ESCOLAS,22 – SEDUC,Administração direta
228011,ESCOLAS,22 – SEDUC,Administração direta
228012,ESCOLAS,22 – SEDUC,Administração direta
228013,ESCOLAS,22 – SEDUC,Administração direta
228014,ESCOLAS,22 – SEDUC,Administração direta
228015,ESCOLAS,22 – SEDUC,Administração direta
228016,ESCOLAS,22 – SEDUC,Administração direta
228017,ESCOLAS,22 – SEDUC,Administração direta
228018,ESCOLAS,22 – SEDUC,Administração direta
228019,ESCOLAS,22 – SEDUC,Administração direta
228020,ESCOLAS,22 – SEDUC,Administração direta
228021,ESCOLAS,22 – SEDUC,Administração direta
228022,ESCOLAS,22 – SEDUC,Administração direta
228023,ESCOLAS,22 – SEDUC,Administração direta
228024,ESCOLAS,22 – SEDUC,Administração direta
228025,ESCOLAS,22 – SEDUC,Administração direta
228026,ESCOLAS,22 – SEDUC,Administração direta
228027,ESCOLAS,22 – SEDUC,Administração direta
228028,ESCOLAS,22 – SEDUC,Administração direta
228029,ESCOLAS,22 – SEDUC,Administração direta
228030,ESCOLAS,22 – SEDUC,Administração direta
228031,ESCOLAS,22 – SEDUC,Administração direta
228032,ESCOLAS,22 – SEDUC,Administração direta
228033,ESCOLAS,22 – SEDUC,Administração direta
228034,ESCOLAS,22 – SEDUC,Administração direta
228035,ESCOLAS,22 – SEDUC,Administração direta
228036,ESCOLAS,22 – SEDUC,Administração direta
228037,ESCOLAS,22 – SEDUC,Administração direta
228038,ESCOLAS,22 – SEDUC,Administração direta
228039,ESCOLAS,22 – SEDUC,Administração direta
228040,ESCOLAS,22 – SEDUC,Administração direta
228041,ESCOLAS,22 – SEDUC,Administração direta
228042,ESCOLAS,22 – SEDUC,Administração direta
228043,ESCOLAS,22 – SEDUC,Administração direta
228044,ESCOLAS,22 – SEDUC,Administração direta
228045,ESCOLAS,22 – SEDUC,Administração direta
228046,ESCOLAS,22 – SEDUC,Administração direta
228047,ESCOLAS,22 – SEDUC,Administração direta
228048,ESCOLAS,22 – SEDUC,Administração direta
228049,ESCOLAS,22 – SEDUC,Administração direta
228050,ESCOLAS,22 – SEDUC,Administração direta
228051,ESCOLAS,22 – SEDUC,Administração direta
228053,ESCOLAS,22 – SEDUC,Administração direta
228054,ESCOLAS,22 – SEDUC,Administração direta
228056,ESCOLAS,22 – SEDUC,Administração direta
228057,ESCOLAS,22 – SEDUC,Administração direta
228058,ESCOLAS,22 – SEDUC,Administração direta
228059,ESCOLAS,22 – SEDUC,Administração direta
228060,ESCOLAS,22 – SEDUC,Administração direta
228061,ESCOLAS,22 – SEDUC,Administração direta
228062,ESCOLAS,22 – SEDUC,Administração direta
228064,ESCOLAS,22 – SEDUC,Administração direta
228065,ESCOLAS,22 – SEDUC,Administração direta
228066,ESCOLAS,22 – SEDUC,Administração direta
228067,ESCOLAS,22 – SEDUC,Administração direta
228068,ESCOLAS,22 – SEDUC,Administração direta
228069,ESCOLAS,22 – SEDUC,Administração direta
228070,ESCOLAS,22 – SEDUC,Administração direta
228071,ESCOLAS,22 – SEDUC,Administração direta
228072,ESCOLAS,22 – SEDUC,Administração direta
228073,ESCOLAS,22 – SEDUC,Administração direta
228074,ESCOLAS,22 – SEDUC,Administração direta
228075,ESCOLAS,22 – SEDUC,Administração direta
228076,ESCOLAS,22 – SEDUC,Administração direta
228077,ESCOLAS,22 – SEDUC,Administração direta
228078,ESCOLAS,22 – SEDUC,Administração direta
228079,ESCOLAS,22 – SEDUC,Administração direta
228080,ESCOLAS,22 – SEDUC,Administração direta
228081,ESCOLAS,22 – SEDUC,Administração direta
228082,ESCOLAS,22 – SEDUC,Administração direta
228083,ESCOLAS,22 – SEDUC,Administração direta
228084,ESCOLAS,22 – SEDUC,Administração direta
228085,ESCOLAS,22 – SEDUC,Administração direta
228086,ESCOLAS,22 – SEDUC,Administração direta
228087,ESCOLAS,22 – SEDUC,Administração direta
228088,ESCOLAS,22 – SEDUC,Administração direta
228089,ESCOLAS,22 – SEDUC,Administração direta
228090,ESCOLAS,22 – SEDUC,Administração direta
228091,ESCOLAS,22 – SEDUC,Administração direta
228092,ESCOLAS,22 – SEDUC,Administração direta
228093,ESCOLAS,22 – SEDUC,Administração direta
228094,ESCOLAS,22 – SEDUC,Administração direta
228095,ESCOLAS,22 – SEDUC,Administração direta
228096,ESCOLAS,22 – SEDUC,Administração direta
228097,ESCOLAS,22 – SEDUC,Administração direta
228098,ESCOLAS,22 – SEDUC,Administração direta
228099,ESCOLAS,22 – SEDUC,Administração direta
228100,ESCOLAS,22 – SEDUC,Administração direta
228101,ESCOLAS,22 – SEDUC,Administração direta
228102,ESCOLAS,22 – SEDUC,Administração direta
228103,ESCOLAS,22 – SEDUC,Administração direta
228104,ESCOLAS,22 – SEDUC,Administração direta
228105,ESCOLAS,22 – SEDUC,Administração direta
228106,ESCOLAS,22 – SEDUC,Administração direta
228107,ESCOLAS,22 – SEDUC,Administração direta
228108,ESCOLAS,22 – SEDUC,Administração direta
228109,ESCOLAS,22 – SEDUC,Administração direta
228110,ESCOLAS,22 – SEDUC,Administração direta
228111,ESCOLAS,22 – SEDUC,Administração direta
228112,ESCOLAS,22 – SEDUC,Administração direta
228114,ESCOLAS,22 – SEDUC,Administração direta
228115,ESCOLAS,22 – SEDUC,Administração direta
228116,ESCOLAS,22 – SEDUC,Administração direta
228117,ESCOLAS,22 – SEDUC,Administração direta
228118,ESCOLAS,22 – SEDUC,Administração direta
228119,ESCOLAS,22 – SEDUC,Administração direta
228120,ESCOLAS,22 – SEDUC,Administração direta
228121,ESCOLAS,22 – SEDUC,Administração direta
228122,ESCOLAS,22 – SEDUC,Administração direta
228123,ESCOLAS,22 – SEDUC,Administração direta
228124,ESCOLAS,22 – SEDUC,Administração direta
228125,ESCOLAS,22 – SEDUC,Administração direta
